,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
830,Skoda Octavia 1.8 AT,2011,II рестайлинг,169000,8.0,3,1.8 TSI AT,1.8,Бензин,Автомат,Передний,Хэтчбек,Чёрный,Левый,Не интересует,выше,1,3,1,3,Оригинал,980000,152
831,BMW 3 серия 2.0 AT,2008,E90/E91/E92/E93 рестайлинг,177109,17.0,4+,320i 2.0 AT,2.0,Бензин,Автомат,Задний,Седан,Другой,Левый,Не интересует,соответствует,0,5,4,4,Дубликат,950000,156
832,Renault Koleos 2.5 CVT,2012,I рестайлинг,129000,20.0,1,2.5 4WD CVT,2.5,Бензин,Вариатор,Полный,Внедорожник,Другой,Левый,Не интересует,нет оценки,0,2,13,2,Оригинал,650000,171
833,Toyota Land Cruiser Prado 4.0 AT,2004,120,350000,9.0,3,4.0 AT,4.0,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,соответствует,0,3,5,3,Дубликат,1500000,249
834,ГАЗ ГАЗель Next 2.8 MT,2016,III,170500,6.0,2,2.8 D MT,2.8,Дизель,Механика,Задний,Van,Чёрный,Левый,Не интересует,соответствует,0,2,2,2,Оригинал,1590000,150
835,Nissan Sentra 2.0 CVT,2021,B18,74000,11.267396907216495,1,2.0 CVT,2.0,Бензин,Вариатор,Передний,Седан,Синий,Левый,Возможен,нет оценки,0,2,5,2,Электронный,2199999,149
836,Skoda Rapid 1.6 AT,2021,II,105000,12.0,1,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Белый,Левый,Не интересует,выше,0,1,7,2,Оригинал,1590000,110
837,BMW 3 серия 3.0 AT,2021,G20/G21,73520,11.267396907216495,1,M340i 3.0 AT,3.0,Бензин,Автомат,Задний,Седан,Чёрный,Левый,Не интересует,нет оценки,0,2,5,2,Электронный,4819000,387
838,BMW 3 серия 1.6 AT,2013,F30/F31,240000,7.0,2,316i 1.6 AT,1.6,Бензин,Автомат,Задний,Седан,Серый,Левый,Не интересует,выше,1,2,3,1,Оригинал,1380000,136
839,Hyundai i40 2.0 AT,2015,I,401000,6.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Чёрный,Левый,другое,нет оценки,0,1,3,2,Оригинал,595000,150
840,Kia Sportage 2.0 AT,2012,III,199000,4.0,1,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Другой,Левый,Не интересует,выше,1,1,1,2,Оригинал,1399000,150
841,BMW X6 3.0 AT,2008,E71,349000,17.0,4+,35d 3.0 AT,3.0,Дизель,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,6,1,6,Оригинал,1790000,286
842,Mercedes-Benz M-класс 3.2 AT,1999,W163,205000,2.0,3,ML 320 3.2 4MATIC AT,3.2,Бензин,Автомат,Полный,Внедорожник,Зелёный,Левый,Не интересует,выше,1,3,5,2,Оригинал,770000,218
843,Volkswagen Touran 2.0 AMT,2005,I,198314,5.0,4+,2.0 TDI DSG,2.0,Дизель,Робот,Передний,Minivan,Чёрный,Левый,Не интересует,выше,1,4,1,3,Другое,615000,140
844,Chevrolet Aveo 1.4 AT,2009,I рестайлинг,233000,21.0,2,1.4 AT,1.4,Бензин,Автомат,Передний,Седан,Синий,Левый,Не интересует,соответствует,0,2,10,2,Оригинал,450000,101
845,Honda CR-V 2.0 AT,2013,IV,44000,8.0,2,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Коричневый,Левый,Не интересует,соответствует,1,2,5,1,Оригинал,2280000,150
846,Ford Focus 1.6 MT,2016,III рестайлинг,91000,5.0,2,1.6 MT,1.6,Бензин,Механика,Передний,Хэтчбек,Белый,Левый,Не интересует,выше,0,2,5,2,Оригинал,1300000,105
847,ВАЗ (LADA) 2114 Samara 1.6 MT,2010,I,140000,7.0,4+,1.6 MT,1.6,Бензин,Механика,Передний,Хэтчбек,Зелёный,Левый,Не интересует,выше,1,8,5,5,Дубликат,179000,81
848,Mercedes-Benz Sprinter 3.0 AT,2009,W906,20000,9.0,2,319 CDI 3.0 AT,3.0,Дизель,Автомат,Задний,Van,Белый,Левый,Не интересует,нет оценки,0,2,5,2,Оригинал,4200000,190
